Total RAM: 16649436 KB
Free RAM: 4425784 KB
Used RAM: 12223652 KB
Processes:
PID: 21332, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 39968ms, Memory: 88112 KB
PID: 17544, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 12531ms, Memory: 58604 KB
PID: 17572, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 12890ms, Memory: 60544 KB
PID: 18120, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 10640ms, Memory: 72252 KB
PID: 24876, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 39687ms, Memory: 249844 KB
PID: 6932, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 593ms, Memory: 70360 KB
PID: 22844, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 9656ms, Memory: 67340 KB
PID: 17104, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 281ms, Memory: 65552 KB
PID: 20932, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 562ms, Memory: 69648 KB
PID: 21772, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 46ms, Memory: 29792 KB
PID: 11500, Process Name: devenv.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 141015ms, Memory: 848980 KB
PID: 22428, Process Name: PerfWatson2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1203ms, Memory: 71464 KB
PID: 18512, Process Name: Microsoft.ServiceHub.Controller.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1781ms, Memory: 72820 KB
PID: 22064, Process Name: ServiceHub.VSDetouredHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2781ms, Memory: 118288 KB
PID: 17664, Process Name: ServiceHub.SettingsHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1296ms, Memory: 78348 KB
PID: 2180, Process Name: ServiceHub.IdentityHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2390ms, Memory: 118740 KB
PID: 24932, Process Name: ServiceHub.ThreadedWaitDialog.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1234ms, Memory: 106528 KB
PID: 7860, Process Name: ServiceHub.IndexingService.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 3093ms, Memory: 98824 KB
PID: 10344, Process Name: ServiceHub.IntellicodeModelService.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 13062ms, Memory: 381716 KB
PID: 20580, Process Name: <unknown>, Username: DESKTOP-S4MLJHQ\Admin, CPU: 0ms, Memory: 2036 KB
PID: 18624, Process Name: MSBuild.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2515ms, Memory: 57924 KB
PID: 3268, Process Name: conhost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 31ms, Memory: 11788 KB
PID: 15612, Process Name: VCTIP.EXE, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1328ms, Memory: 49256 KB
PID: 16280, Process Name: ServiceHub.Host.AnyCPU.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1984ms, Memory: 97112 KB
